timestamp,processes,samples,repeats,features,qubits,shots,backend,condition,wall_time_ms,simulation_time_ms
2026-08-18T18:12:57,1,64,8,5,5,1024,cpu,noiseless,5967.89,164.831
2026-08-18T18:13:05,1,64,8,5,5,1024,cpu,noiseless,6088.438,176.135
2026-08-18T18:13:12,1,64,8,5,5,1024,cpu,noiseless,6063.238,183.651
2026-08-18T18:13:20,1,64,8,5,5,1024,cpu,noiseless,5911.051,180.628
2026-08-18T18:13:28,1,64,8,5,5,1024,cpu,noiseless,6428.303,180.941
2026-08-18T18:18:42,2,64,8,5,5,1024,cpu,noiseless,3560.825,247.108
2026-08-18T18:18:48,2,64,8,5,5,1024,cpu,noiseless,3270.824,209.518
2026-08-18T18:18:53,2,64,8,5,5,1024,cpu,noiseless,3496.538,211.359
2026-08-18T18:18:58,2,64,8,5,5,1024,cpu,noiseless,3600.972,237.487
2026-08-18T18:19:04,2,64,8,5,5,1024,cpu,noiseless,3526.045,214.668
2026-08-18T18:23:30,4,64,8,5,5,1024,cpu,noiseless,1932.438,390.686
2026-08-18T18:23:34,4,64,8,5,5,1024,cpu,noiseless,2245.045,775.283
2026-08-18T18:23:39,4,64,8,5,5,1024,cpu,noiseless,2680.535,819.101
2026-08-18T18:23:44,4,64,8,5,5,1024,cpu,noiseless,2521.801,552.518
2026-08-18T18:23:48,4,64,8,5,5,1024,cpu,noiseless,2283.911,383.464
